#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
112,George Springer,TOR,138,595,25,86,75,13,10.30%,19.40%,0.192,0.285,0.258,0.342,0.449,0.343,121,0.9,16.0,-12.8,2.4
113,Wilyer Abreu,BOS,120,518,21,67,71,8,10.90%,24.60%,0.198,0.295,0.247,0.332,0.445,0.335,111,-0.5,6.2,-0.5,2.4
114,Isaac Paredes,HOU,117,504,21,61,68,1,11.50%,16.90%,0.194,0.256,0.243,0.346,0.438,0.343,121,-1.3,11.3,-5.4,2.4
115,Jarren Duran,BOS,139,602,16,79,69,21,8.00%,23.30%,0.182,0.319,0.258,0.326,0.441,0.331,108,3.0,8.9,-6.4,2.4
116,Bo Naylor,CLE,115,454,17,54,54,4,10.70%,24.10%,0.184,0.254,0.218,0.305,0.402,0.308,98,-0.7,-1.7,8.7,2.4
117,Joey Ortiz,MIL,146,630,12,73,66,15,7.40%,17.00%,0.133,0.284,0.248,0.309,0.381,0.302,93,0.7,-4.3,6.3,2.4
118,Mike Trout,LAA,130,560,26,75,71,3,13.80%,30.60%,0.208,0.303,0.233,0.347,0.442,0.34,118,-1.1,10.6,-6.9,2.4
119,Kyle Stowers,MIA,141,609,27,73,84,4,9.60%,28.30%,0.211,0.303,0.243,0.324,0.454,0.334,113,-0.4,9.1,-6.4,2.4
120,Trevor Story,BOS,154,665,22,82,85,24,5.70%,27.00%,0.165,0.316,0.251,0.299,0.416,0.309,93,2.6,-2.8,2.8,2.3
121,Hunter Goodman,COL,144,583,29,74,89,2,6.00%,25.60%,0.232,0.303,0.259,0.309,0.49,0.341,105,-0.9,2.8,0.2,2.3
122,Ryan Jeffers,MIN,130,523,16,60,59,3,9.50%,20.60%,0.163,0.285,0.245,0.331,0.409,0.324,107,-1.2,3.2,2.0,2.3
123,Luis Robert Jr.,NYM,131,567,21,69,76,29,7.40%,27.90%,0.17,0.295,0.235,0.298,0.405,0.304,97,1.3,-0.6,4.1,2.3
124,Jorge Polanco,NYM,125,539,23,65,76,5,9.70%,20.20%,0.191,0.276,0.251,0.327,0.442,0.333,117,-1.0,9.8,-5.5,2.3
125,Munetaka Murakami,CHW,136,588,30,76,83,9,13.60%,31.50%,0.217,0.298,0.232,0.342,0.449,0.342,120,-1.0,12.6,-11.1,2.2
126,Willson Contreras,BOS,141,609,23,75,82,5,9.40%,24.90%,0.194,0.307,0.251,0.344,0.445,0.344,117,-1.3,11.1,-10.6,2.2
127,Jakob Marsee,MIA,133,574,13,73,57,34,11.60%,21.40%,0.145,0.28,0.231,0.33,0.376,0.314,99,2.1,1.4,0.8,2.2
128,Chase Meidroth,CHW,130,560,8,69,46,13,11.30%,15.00%,0.096,0.288,0.252,0.348,0.348,0.314,100,-0.4,0.0,2.1,2.2
129,Colton Cowser,BAL,117,504,20,63,64,13,9.60%,31.10%,0.186,0.31,0.233,0.317,0.419,0.32,107,0.9,4.9,-1.0,2.2
130,Jake Cronenworth,SDP,146,630,15,71,65,4,10.90%,20.00%,0.14,0.277,0.234,0.332,0.374,0.313,104,-1.0,2.0,-1.7,2.2
131,Jung Hoo Lee,SFG,141,609,10,68,64,9,7.70%,10.70%,0.133,0.291,0.271,0.333,0.404,0.322,108,-0.1,6.0,-5.0,2.2
132,Dylan Crews,WSN,138,595,18,73,69,26,7.10%,22.00%,0.158,0.288,0.244,0.309,0.401,0.31,98,1.2,-0.2,1.7,2.2
