"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Melendez, MJ",669004,2023,24,602,125,29,16,170,62,28.2,10.3,"56","6","65",".231",".439",".310",".326","72.1",11.4,34.4
"Arenado, Nolan",571448,2023,32,612,149,26,26,101,41,16.5,6.7,"93","3","71",".262",".439",".327",".320","71.4",7.3,20.2
"Grisham, Trent",663757,2023,26,555,93,31,13,154,75,27.7,13.5,"50","15","67",".211",".404",".299",".322","70.5",11.9,28.3
"Walker, Jordan",691023,2023,21,465,116,19,16,104,37,22.4,8,"51","7","51",".263",".430",".341",".332","74.9",7.5,30
"Goldschmidt, Paul",502671,2023,35,687,159,31,25,161,87,23.4,12.7,"80","11","89",".264",".491",".350",".365","72.1",12,27.5
"Belt, Brandon",474832,2023,35,404,86,23,19,141,61,34.9,15.1,"43","0","53",".207",".435",".369",".333","72.7",15,32.5
"Andrus, Elvis",462101,2023,34,406,94,20,6,71,25,17.5,6.2,"44","12","39",".229",".316",".290",".270","68.4",2.6,20.1
"Gelof, Zack",680869,2023,23,300,72,20,14,82,26,27.3,8.7,"32","14","40",".247",".451",".357",".331","71.5",11.1,33.7
"Walls, Taylor",670764,2023,26,349,61,12,8,92,44,26.4,12.6,"36","22","50",".199",".303",".287",".277","69.3",3.3,27.2
"LeMahieu, DJ",518934,2023,34,562,121,22,15,125,60,22.2,10.7,"44","2","55",".252",".394",".315",".323","68.2",5.9,19.7
"Raley, Luke",670042,2023,28,406,89,23,19,128,28,31.5,6.9,"49","14","56",".222",".442",".353",".328","75.7",12.9,38.9
"Escobar, Eduardo",500871,2023,34,309,65,6,6,78,18,25.2,5.8,"31","2","32",".202",".304",".267",".246","68.3",3.8,28.3
"Davis, J.D.",605204,2023,30,546,119,23,18,152,52,27.8,9.5,"69","1","61",".239",".414",".321",".323","72.2",9.6,34
"Wendle, Joey",621563,2023,33,318,63,16,2,67,13,21.1,4.1,"20","7","33",".232",".330",".242",".266","68.3",3.4,25
"Arias, Gabriel",672356,2023,23,345,66,15,10,113,28,32.8,8.1,"26","3","36",".227",".408",".276",".305","74.9",9.9,37.7
"McCormick, Chas",676801,2023,28,457,110,17,22,117,40,25.6,8.8,"70","19","59",".241",".458",".362",".340","71",11.1,29.4
"Ward, Taylor",621493,2023,29,409,90,18,14,80,39,19.6,9.5,"47","4","60",".251",".437",".329",".340","69.5",8.2,21.1
"Duran, Jarren",680776,2023,26,362,98,34,8,90,24,24.9,6.6,"40","24","46",".266",".410",".354",".322","73.4",5.3,24.6
"McNeil, Jeff",643446,2023,31,648,158,25,10,65,39,10,6,"55","10","75",".249",".346",".314",".296","68.1",1.3,13.5
"Julks, Corey",667452,2023,27,323,73,14,6,75,22,23.2,6.8,"33","15","35",".245",".373",".286",".294","71.4",4.9,25.4
"Rengifo, Luis",650859,2023,26,445,104,15,16,82,41,18.4,9.2,"51","6","55",".242",".405",".339",".323","71",7.6,24.5
"Urías, Ramón",602104,2023,29,396,95,22,4,101,27,25.5,6.8,"42","3","45",".223",".339",".310",".281","70.8",6.9,28.7
"Olson, Matt",621566,2023,29,720,172,27,54,167,104,23.2,14.4,"139","1","127",".262",".571",".413",".395","74.8",16.4,28.4
"Kirk, Alejandro",672386,2023,24,422,93,16,8,45,42,10.7,10,"43","0","34",".252",".392",".308",".321","70.1",5.2,12.8
